# Provenance: branch-only commits touching each file in the migration delta.
# Columns: file <TAB> origin commits (newest first, %h:%an:%s truncated)
src/ck-core/ckcallback.C	dbc3815c7:shourya goel:mpi smp for chareArray and group
src/ck-core/ckcheckpoint.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb|7230175cd:Ritvik Rao:remove remaining whitespace|cf6929540:Laxmikant Kale:Fix whitespace formatting in core source file|81bd69bdd:Ritvik Rao:merge main|09757bf2a:Advait Tahilyani:Removed mentions of TopoGetDim and added Cm
src/ck-core/ckcheckpoint.ci	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/ckcheckpoint.h	9e48ce995:Ritvik Rao:merge reconverse changes with lb|b273e0830:Ritvik Rao:replace CqsEnqueue with CsdEnqueue
src/ck-core/cklocation.C	fdbe226d2:Ritvik Rao:Fix GPU/CPU build breakage exposed by the hapi me|04bb679af:Shourya Goel:more hapi hip changes|9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|b9dcb92e8:Shourya Goel:lb buffer size not restricted to power of 2 + c|1df662ff5:Shourya Goel:better debugs|99413bd15:Shourya Goel:malloc for load balancing buffers
src/ck-core/cklocation.ci	04bb679af:Shourya Goel:more hapi hip changes|9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|09757bf2a:Advait Tahilyani:Removed mentions of TopoGetDim and added Cm
src/ck-core/cklocation.h	9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/cklocrec.h	bfec3b5ac:Shourya Goel:passing PUP size to stratergy and using user da|9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/ckmemcheckpoint.C	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/ckmigratable.h	bfec3b5ac:Shourya Goel:passing PUP size to stratergy and using user da|9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/ck-core/ckobjQ.C	9c9de0a06:Ritvik Rao:libck compiles now
src/ck-core/ckrdma.C	6841dfe62:Ritvik Rao:fix CMK_OPTIMIZE redefinition
src/ck-core/ckrdma.h	7230175cd:Ritvik Rao:remove remaining whitespace|cf6929540:Laxmikant Kale:Fix whitespace formatting in core source file|8714a6e2e:Advait Tahilyani:Adapted ckrdma to implement pup itself|c3a9d74a0:Aditya Bhosale:Remove memory mode and thread mode checks and
